Box 0: [1.05000000000000027, 1.10000000000000009] x [3.05000000000000027, 3.10000000000000009]
Box 1: [1.00000000000000022, 1.05000000000000027] x [3.05000000000000027, 3.10000000000000009]
Box 2: [1.05000000000000027, 1.10000000000000009] x [3.00000000000000000, 3.05000000000000027]
Box 3: [1.00000000000000022, 1.05000000000000027] x [3.00000000000000000, 3.05000000000000027]
Box 4: [0.95000000000000018, 1.00000000000000022] x [3.05000000000000027, 3.10000000000000009]
Box 5: [0.90000000000000002, 0.95000000000000018] x [3.05000000000000027, 3.10000000000000009]
Box 6: [0.95000000000000018, 1.00000000000000022] x [3.00000000000000000, 3.05000000000000027]
Box 7: [0.90000000000000002, 0.95000000000000018] x [3.00000000000000000, 3.05000000000000027]
Box 8: [1.05000000000000027, 1.10000000000000009] x [2.95000000000000018, 3.00000000000000000]
Box 9: [1.00000000000000022, 1.05000000000000027] x [2.95000000000000018, 3.00000000000000000]
Box 10: [1.05000000000000027, 1.10000000000000009] x [2.89999999999999991, 2.95000000000000018]
Box 11: [1.00000000000000022, 1.05000000000000027] x [2.89999999999999991, 2.95000000000000018]
Box 12: [0.95000000000000018, 1.00000000000000022] x [2.95000000000000018, 3.00000000000000000]
Box 13: [0.90000000000000002, 0.95000000000000018] x [2.95000000000000018, 3.00000000000000000]
Box 14: [0.95000000000000018, 1.00000000000000022] x [2.89999999999999991, 2.95000000000000018]
Box 15: [0.90000000000000002, 0.95000000000000018] x [2.89999999999999991, 2.95000000000000018]
Box 16: [0.90000000000000002, 0.90000000000000002] x [2.89999999999999991, 2.89999999999999991]
Box 17: [1.10000000000000009, 1.10000000000000009] x [2.89999999999999991, 2.89999999999999991]
Box 18: [0.90000000000000002, 0.90000000000000002] x [3.10000000000000009, 3.10000000000000009]
Box 19: [1.10000000000000009, 1.10000000000000009] x [3.10000000000000009, 3.10000000000000009]
